"min116-contents-ID","発言ID","発言者","発言原文","内容","言及あり","他の委員の発言参照","参照されたページ・行","理由"
59,"min116-u31","#髙橋（清）委員","髙橋でございます。 今回の計画案に関しては、皆さんのご意見のとおり、これだけの多大な意見をまとめていただいて、本当にどうもありがとうございました。感謝しております。 また個人的にも、私は土木の出身なので、まさにグレーインフラの者なんですけど、今回、皆様の意見を聞きながら、グリーンインフラ、さらにはウェルビーイング等々、本当に刺激的な議論に参加させていただきまして、個人的にも感謝しております。どうもありがとうございます。 また、先ほど武内先生からお話がありましたとおり、第五次環境基本計画から第六次環境基本計画の根本的なところを今お話しいただいたので、それを含めて、もう一度この計画を読んでみたいなという気になりました。第六次環境基本計画というのは、まさに議論の中にもありましたとおり、環境は制約条件じゃなくて前提条件で、それで社会システムを変えていく、変わった社会システムで高い生活の質を実現させる、このメッセージはぜひしっかり伝えるための発信をしっかりしていただきたいと思います。 第六次環境基本計画に関しては、先ほどもお話がありましたように、指針とか憲法ですので、具体的な戦略を実施するためには各部局の計画、戦略によるところが大きいわけですが、やはりポイントは、お話がありましたとおり、省庁の垣根をどう超えて実施していくのかというところだと思いますので、ぜひ各染み出し部分をしっかり戦っていただきたいなというのが期待です。 もう一つは、やはり自治体がどうやっていくのか。第五次環境基本計画のとき、政策を統合的に実施できるのが自治体だというお話がありました。まさに実施の最前線は自治体だということに異論ありません。だからこそ自治体が本計画の方向性と合っているのかどうかを確認できるような、仕組みをしっかりつくっていただきたいと思います。","第六次環境基本計画というのは、まさに議論の中にもありましたとおり、環境は制約条件じゃなくて前提条件で、それで社会システムを変えていく、変わった社会システムで高い生活の質を実現させる、このメッセージはぜひしっかり伝えるための発信をしっかりしていただきたいと思います。","Yes","Yes",,"第六次環境基本計画のメッセージ（環境は制約条件でなく前提条件）が新たに強調されている点に触れており、計画案の内容変更への言及と判断できる。"
60,"min116-u31","#髙橋（清）委員","髙橋でございます。 今回の計画案に関しては、皆さんのご意見のとおり、これだけの多大な意見をまとめていただいて、本当にどうもありがとうございました。感謝しております。 また個人的にも、私は土木の出身なので、まさにグレーインフラの者なんですけど、今回、皆様の意見を聞きながら、グリーンインフラ、さらにはウェルビーイング等々、本当に刺激的な議論に参加させていただきまして、個人的にも感謝しております。どうもありがとうございます。 また、先ほど武内先生からお話がありましたとおり、第五次環境基本計画から第六次環境基本計画の根本的なところを今お話しいただいたので、それを含めて、もう一度この計画を読んでみたいなという気になりました。第六次環境基本計画というのは、まさに議論の中にもありましたとおり、環境は制約条件じゃなくて前提条件で、それで社会システムを変えていく、変わった社会システムで高い生活の質を実現させる、このメッセージはぜひしっかり伝えるための発信をしっかりしていただきたいと思います。 第六次環境基本計画に関しては、先ほどもお話がありましたように、指針とか憲法ですので、具体的な戦略を実施するためには各部局の計画、戦略によるところが大きいわけですが、やはりポイントは、お話がありましたとおり、省庁の垣根をどう超えて実施していくのかというところだと思いますので、ぜひ各染み出し部分をしっかり戦っていただきたいなというのが期待です。 もう一つは、やはり自治体がどうやっていくのか。第五次環境基本計画のとき、政策を統合的に実施できるのが自治体だというお話がありました。まさに実施の最前線は自治体だということに異論ありません。だからこそ自治体が本計画の方向性と合っているのかどうかを確認できるような、仕組みをしっかりつくっていただきたいと思います。","もう一つは、やはり自治体がどうやっていくのか。第五次環境基本計画のとき、政策を統合的に実施できるのが自治体だというお話がありました。まさに実施の最前線は自治体だということに異論ありません。だからこそ自治体が本計画の方向性と合っているのかどうかを確認できるような、仕組みをしっかりつくっていただきたいと思います。","Yes","Yes",,"第五次計画と第六次計画における自治体の役割や方向性の違い・確認の必要性に触れており、計画案の変更点に関する言及と判断できる。"
61,"min116-u31","#髙橋（清）委員","もう一つ、やはりメッセージをどう伝えるかということです。これから動画も作られるでしょうし、概要版とかシンポジウムとか、学校等で出前授業みたいなこともあると思います。是非積極的に、押しかけてでも周知をやっていく、攻めの周知が必要だと思います。 一方、どう伝わっているのかということはぜひ確認していただきたいと思います。各団体における社会的な対話というのが今後ますます必要だと思いますし、それが国民参加の基本になってくるだろうと思います。 ぜひウェルビーイング、あとネイチャーポジティブ、いい言葉なんですけど、それがうまく伝わっているかどうかというところを確認しながら、環境を専門にしている方たちには当たり前のことかと思いますが、一般の方たちはなじみがないところもありますので、ぜひ分かりやすい説明を実行とともに行っていただければと期待しております。 以上です。","ぜひウェルビーイング、あとネイチャーポジティブ、いい言葉なんですけど、それがうまく伝わっているかどうかというところを確認しながら、環境を専門にしている方たちには当たり前のことかと思いますが、一般の方たちはなじみがないところもありますので、ぜひ分かりやすい説明を実行とともに行っていただければと期待しております。","No","No",,"発言全体は周知や伝え方、説明の工夫について述べているが、環境基本計画の文書自体の変更やその箇所・内容への言及はないため。"
62,"min116-u32","高村ゆかり","ありがとうございます。 それでは、竹ケ原委員、お願いいたします。","「ありがとうございます。 それでは、竹ケ原委員、お願いいたします。」","No","No",,"発言内容は議事進行上の発言であり、環境基本計画の案の変更箇所や内容についての言及は一切含まれていないため。"
63,"min116-u33","#竹ケ原委員","ありがとうございます。 まずは、取りまとめ、大変お疲れさまでございました。この１年ほど、この議論に参加させていただいた感想として、非常に民主的というか、オープンに取り組んでいただいたなというのが率直な印象です。 例えば、再三にわたり出また危機感が足りないという点。これは各委員から厳しいご指摘がありましたけれども、最終的にそれが本文の中に織り込まれ、危機感の高まりというか、危機感が環境と経済の関係性の認識を大きく変えたという記述が16ページに盛り込まれています。危機意識とフレームワークの転換は表裏一体であるという形で、うまく、この間の議論を取り込んでいただきました。その過程で、同期するとか共進化というキーワードを作り、その先にあるゴールとしてウェルビーイング/高い生活の質を据える新しい体系を打ち出していただいた。そういうパラダイムの変化に金融の変化がちゃんと寄与しているとして、従来はバイプレーヤーみたいな位置づけだった金融についても環境施策の変化に織り込んでいただいたのは、ありがたいと思います。 このように、この間に議論を通じて、新しい変化というんでしょうか、要素をきちんと取り込んで作られている一方で、先ほど来お話がありましたように新たな成長や統合という考え方は、過去の環境基本計画で打ち出されたコンセプトの承継であることもちゃんと書かれていますから、いわゆる連続性も意識されているということだと思います。 この議論の最初の段階で、「変え方を変える」という話があったと記憶しています。まさしく変え方を変えているんだけど、これまでとの連続性もきちんと意識して新たな方向性が打ち出された、そういう取りまとめだなと理解しました。","例えば、再三にわたり出また危機感が足りないという点。これは各委員から厳しいご指摘がありましたけれども、最終的にそれが本文の中に織り込まれ、危機感の高まりというか、危機感が環境と経済の関係性の認識を大きく変えたという記述が16ページに盛り込まれています。危機意識とフレームワークの転換は表裏一体であるという形で、うまく、この間の議論を取り込んでいただきました。","Yes","Yes","16ページ（版種不明）","危機感が足りないという指摘を受けて、本文に危機感の高まりやフレームワーク転換の記述が16ページに盛り込まれたと明言しており、具体的な変更点への言及があるため。"
64,"min116-u33","#竹ケ原委員","ありがとうございます。 まずは、取りまとめ、大変お疲れさまでございました。この１年ほど、この議論に参加させていただいた感想として、非常に民主的というか、オープンに取り組んでいただいたなというのが率直な印象です。 例えば、再三にわたり出また危機感が足りないという点。これは各委員から厳しいご指摘がありましたけれども、最終的にそれが本文の中に織り込まれ、危機感の高まりというか、危機感が環境と経済の関係性の認識を大きく変えたという記述が16ページに盛り込まれています。危機意識とフレームワークの転換は表裏一体であるという形で、うまく、この間の議論を取り込んでいただきました。その過程で、同期するとか共進化というキーワードを作り、その先にあるゴールとしてウェルビーイング/高い生活の質を据える新しい体系を打ち出していただいた。そういうパラダイムの変化に金融の変化がちゃんと寄与しているとして、従来はバイプレーヤーみたいな位置づけだった金融についても環境施策の変化に織り込んでいただいたのは、ありがたいと思います。 このように、この間に議論を通じて、新しい変化というんでしょうか、要素をきちんと取り込んで作られている一方で、先ほど来お話がありましたように新たな成長や統合という考え方は、過去の環境基本計画で打ち出されたコンセプトの承継であることもちゃんと書かれていますから、いわゆる連続性も意識されているということだと思います。 この議論の最初の段階で、「変え方を変える」という話があったと記憶しています。まさしく変え方を変えているんだけど、これまでとの連続性もきちんと意識して新たな方向性が打ち出された、そういう取りまとめだなと理解しました。","その過程で、同期するとか共進化というキーワードを作り、その先にあるゴールとしてウェルビーイング/高い生活の質を据える新しい体系を打ち出していただいた。そういうパラダイムの変化に金融の変化がちゃんと寄与しているとして、従来はバイプレーヤーみたいな位置づけだった金融についても環境施策の変化に織り込んでいただいたのは、ありがたいと思います。","Yes","No",,"新たに『同期』『共進化』『ウェルビーイング』等のキーワードや体系が盛り込まれ、金融の位置づけも変更されたと述べており、計画案の内容変更への言及があるため。"
65,"min116-u33","#竹ケ原委員","ありがとうございます。 まずは、取りまとめ、大変お疲れさまでございました。この１年ほど、この議論に参加させていただいた感想として、非常に民主的というか、オープンに取り組んでいただいたなというのが率直な印象です。 例えば、再三にわたり出また危機感が足りないという点。これは各委員から厳しいご指摘がありましたけれども、最終的にそれが本文の中に織り込まれ、危機感の高まりというか、危機感が環境と経済の関係性の認識を大きく変えたという記述が16ページに盛り込まれています。危機意識とフレームワークの転換は表裏一体であるという形で、うまく、この間の議論を取り込んでいただきました。その過程で、同期するとか共進化というキーワードを作り、その先にあるゴールとしてウェルビーイング/高い生活の質を据える新しい体系を打ち出していただいた。そういうパラダイムの変化に金融の変化がちゃんと寄与しているとして、従来はバイプレーヤーみたいな位置づけだった金融についても環境施策の変化に織り込んでいただいたのは、ありがたいと思います。 このように、この間に議論を通じて、新しい変化というんでしょうか、要素をきちんと取り込んで作られている一方で、先ほど来お話がありましたように新たな成長や統合という考え方は、過去の環境基本計画で打ち出されたコンセプトの承継であることもちゃんと書かれていますから、いわゆる連続性も意識されているということだと思います。 この議論の最初の段階で、「変え方を変える」という話があったと記憶しています。まさしく変え方を変えているんだけど、これまでとの連続性もきちんと意識して新たな方向性が打ち出された、そういう取りまとめだなと理解しました。","このように、この間に議論を通じて、新しい変化というんでしょうか、要素をきちんと取り込んで作られている一方で、先ほど来お話がありましたように新たな成長や統合という考え方は、過去の環境基本計画で打ち出されたコンセプトの承継であることもちゃんと書かれていますから、いわゆる連続性も意識されているということだと思います。","Yes","Yes",,"新たな成長や統合の考え方が過去計画のコンセプトの承継として記載されていると述べており、計画案の内容の変更（連続性の明記）への言及があるため。"
66,"min116-u33","#竹ケ原委員","ありがとうございます。 まずは、取りまとめ、大変お疲れさまでございました。この１年ほど、この議論に参加させていただいた感想として、非常に民主的というか、オープンに取り組んでいただいたなというのが率直な印象です。 例えば、再三にわたり出また危機感が足りないという点。これは各委員から厳しいご指摘がありましたけれども、最終的にそれが本文の中に織り込まれ、危機感の高まりというか、危機感が環境と経済の関係性の認識を大きく変えたという記述が16ページに盛り込まれています。危機意識とフレームワークの転換は表裏一体であるという形で、うまく、この間の議論を取り込んでいただきました。その過程で、同期するとか共進化というキーワードを作り、その先にあるゴールとしてウェルビーイング/高い生活の質を据える新しい体系を打ち出していただいた。そういうパラダイムの変化に金融の変化がちゃんと寄与しているとして、従来はバイプレーヤーみたいな位置づけだった金融についても環境施策の変化に織り込んでいただいたのは、ありがたいと思います。 このように、この間に議論を通じて、新しい変化というんでしょうか、要素をきちんと取り込んで作られている一方で、先ほど来お話がありましたように新たな成長や統合という考え方は、過去の環境基本計画で打ち出されたコンセプトの承継であることもちゃんと書かれていますから、いわゆる連続性も意識されているということだと思います。 この議論の最初の段階で、「変え方を変える」という話があったと記憶しています。まさしく変え方を変えているんだけど、これまでとの連続性もきちんと意識して新たな方向性が打ち出された、そういう取りまとめだなと理解しました。","この議論の最初の段階で、「変え方を変える」という話があったと記憶しています。まさしく変え方を変えているんだけど、これまでとの連続性もきちんと意識して新たな方向性が打ち出された、そういう取りまとめだなと理解しました。","Yes","Yes",,"『変え方を変える』という議論が反映され、連続性と新たな方向性が盛り込まれたと述べており、計画案の変更点（方向性や連続性の記載）への言及があるため。"
67,"min116-u33","#竹ケ原委員","具体的に、例えば金融に関していうと、大きな役割に留まらず、具体的に何をやるかまで記載されています。例えば71ページでは、金融は頑張っていると評価する一方で、グリーンウォッシュへの懸念が高まっているという課題もしっかり指摘され、結果的にグリーンボンドガイドラインでより明確に規定されたグリーン性に配慮するとか、インパクト評価のレベルを上げるとか、こういう対応をちゃんとやっていかなければならないと書かれている。 非常に重要な指摘ですが、これだけ大部の資料になりますので、例えば金融の人間が読んで、この計画、戦略の中で押さえておくべきポイント、要諦が何かを知るためには、ある意味で拾い読みが必要になってくると思います。一般の市民もそうですし、おそらくアクターによって、この計画のどこを読んでいくかについて指南が必要だと思います。もちろん通読して全部を理解するのが理想なんですけど、なかなか難しいとすると、これからまさにこれを説明されるに当たっては、読み手ごとに、どこに重点項目があるのかという辺り、この辺を意識してご説明いただくと、より理解が深まるかなという気はいたしております。 以上です。ありがとうございました。","例えば71ページでは、金融は頑張っていると評価する一方で、グリーンウォッシュへの懸念が高まっているという課題もしっかり指摘され、結果的にグリーンボンドガイドラインでより明確に規定されたグリーン性に配慮するとか、インパクト評価のレベルを上げるとか、こういう対応をちゃんとやっていかなければならないと書かれている。","Yes","No","71ページ","環境基本計画の案において、71ページで金融分野に関する記載内容（グリーンウォッシュへの懸念、グリーンボンドガイドラインの明確化、インパクト評価のレベル向上など）が指摘されており、これらが計画案の変更点や新たな記載内容への言及と判断できるため。"
68,"min116-u33","#竹ケ原委員","具体的に、例えば金融に関していうと、大きな役割に留まらず、具体的に何をやるかまで記載されています。例えば71ページでは、金融は頑張っていると評価する一方で、グリーンウォッシュへの懸念が高まっているという課題もしっかり指摘され、結果的にグリーンボンドガイドラインでより明確に規定されたグリーン性に配慮するとか、インパクト評価のレベルを上げるとか、こういう対応をちゃんとやっていかなければならないと書かれている。 非常に重要な指摘ですが、これだけ大部の資料になりますので、例えば金融の人間が読んで、この計画、戦略の中で押さえておくべきポイント、要諦が何かを知るためには、ある意味で拾い読みが必要になってくると思います。一般の市民もそうですし、おそらくアクターによって、この計画のどこを読んでいくかについて指南が必要だと思います。もちろん通読して全部を理解するのが理想なんですけど、なかなか難しいとすると、これからまさにこれを説明されるに当たっては、読み手ごとに、どこに重点項目があるのかという辺り、この辺を意識してご説明いただくと、より理解が深まるかなという気はいたしております。 以上です。ありがとうございました。","これだけ大部の資料になりますので、例えば金融の人間が読んで、この計画、戦略の中で押さえておくべきポイント、要諦が何かを知るためには、ある意味で拾い読みが必要になってくると思います。一般の市民もそうですし、おそらくアクターによって、この計画のどこを読んでいくかについて指南が必要だと思います。もちろん通読して全部を理解するのが理想なんですけど、なかなか難しいとすると、これからまさにこれを説明されるに当たっては、読み手ごとに、どこに重点項目があるのかという辺り、この辺を意識してご説明いただくと、より理解が深まるかなという気はいたしております。","No","No",,"この部分は計画文書の内容や変更点には直接触れておらず、文書の読み方や説明の工夫について述べているため、変更の言及には該当しない。"
69,"min116-u34","高村ゆかり","ありがとうございます。 それでは、馬奈木委員、お願いいたします。","「ありがとうございます。 それでは、馬奈木委員、お願いいたします。」","No","No",,"発言内容は議事進行上の発言であり、環境基本計画の文書変更についての言及は一切含まれていないため。"
70,"min116-u35","#馬奈木委員","ありがとうございます。 今回の内容を踏まえまして380も意見が出て、個人の化学物質、生活物質に関係するものから、ネイチャーポジティブ経営とか、真新しい言葉に関係するもの、そして金融と企業のＥＳＧの枠組み、連関に関してなど、非常に幅広い専門的なコメントから、生活レベルで気にするところまで、多くのコメントがあったのが、この内容に興味を持たれた印だと思うんですね。そういう意味では、私は非常によかったと思っています。 その一方で、次のステップで、これをどう活用するかのときに、非常に難しいんですけれども、きちんと定量的なＫＰＩを、どんどんデータというのは進展していますので、それをやることによって、今ちょうどおっしゃったような、読み手が、少なくとも何を最低限、まずやればいいか、分かることが大事なのかなと思います。 それができることによって、把握しにくい定性的なこと、例えば今回、いい内容の一つが自然資本、ネイチャーポジティブをカーボンニュートラル、サーキュラーエコノミーと同列できちんと書いたことなんですけど、それがウェルビーイングにつながることまで書いてあるというのは非常にいいことだと思うんですね。ウェルビーイングも、よく取れば、計測できますけど、それに納得しない人もいるので、定性的なことまで含めた、幅を持たせた、それでもＫＰＩと呼べるものを網羅していって、各自治体、各企業、各ステークホルダーがちゃんと、自分が何をすればいいんだろうと思うようにすればいいのかなと思います。","例えば今回、いい内容の一つが自然資本、ネイチャーポジティブをカーボンニュートラル、サーキュラーエコノミーと同列できちんと書いたことなんですけど、それがウェルビーイングにつながることまで書いてあるというのは非常にいいことだと思うんですね。","Yes","No",,"『自然資本、ネイチャーポジティブをカーボンニュートラル、サーキュラーエコノミーと同列できちんと書いた』『ウェルビーイングにつながることまで書いてある』という記述は、環境基本計画案の内容が従来と異なり、これらの要素を明確に記載したことへの言及であり、文書の変更点に該当する。"
71,"min116-u35","#馬奈木委員","ありがとうございます。 今回の内容を踏まえまして380も意見が出て、個人の化学物質、生活物質に関係するものから、ネイチャーポジティブ経営とか、真新しい言葉に関係するもの、そして金融と企業のＥＳＧの枠組み、連関に関してなど、非常に幅広い専門的なコメントから、生活レベルで気にするところまで、多くのコメントがあったのが、この内容に興味を持たれた印だと思うんですね。そういう意味では、私は非常によかったと思っています。 その一方で、次のステップで、これをどう活用するかのときに、非常に難しいんですけれども、きちんと定量的なＫＰＩを、どんどんデータというのは進展していますので、それをやることによって、今ちょうどおっしゃったような、読み手が、少なくとも何を最低限、まずやればいいか、分かることが大事なのかなと思います。 それができることによって、把握しにくい定性的なこと、例えば今回、いい内容の一つが自然資本、ネイチャーポジティブをカーボンニュートラル、サーキュラーエコノミーと同列できちんと書いたことなんですけど、それがウェルビーイングにつながることまで書いてあるというのは非常にいいことだと思うんですね。ウェルビーイングも、よく取れば、計測できますけど、それに納得しない人もいるので、定性的なことまで含めた、幅を持たせた、それでもＫＰＩと呼べるものを網羅していって、各自治体、各企業、各ステークホルダーがちゃんと、自分が何をすればいいんだろうと思うようにすればいいのかなと思います。","今ちょうどおっしゃったような、読み手が、少なくとも何を最低限、まずやればいいか、分かることが大事なのかなと思います。","No","Yes",,"他の委員の発言を受けて、今後の活用や読み手への配慮について述べているが、環境基本計画案の変更内容自体への具体的な言及ではないため。"
72,"min116-u35","#馬奈木委員","一般論で、よく若者の環境意識が低いというんですけれども、普通にアンケートを取ると、若者世代ほど高いんですね。どの国でもそうです、日本でもそうです。ただ、自分事で考えますか、行動しますかとなると、低いんですね。そこのギャップが大きいだけなんですね。そこのギャップを生まないようにするための仕組みづくりで、今回はいいきっかけだと思いますので、ぜひ次、どう進めるかにつながればいいかなと思います。 以上です。ありがとうございます。","一般論で、よく若者の環境意識が低いというんですけれども、普通にアンケートを取ると、若者世代ほど高いんですね。どの国でもそうです、日本でもそうです。ただ、自分事で考えますか、行動しますかとなると、低いんですね。そこのギャップが大きいだけなんですね。そこのギャップを生まないようにするための仕組みづくりで、今回はいいきっかけだと思いますので、ぜひ次、どう進めるかにつながればいいかなと思います。","No","No",,"発言内容は環境意識や行動のギャップについての一般的な意見や今後の進め方への期待であり、環境基本計画の文書案の変更箇所や内容についての具体的な言及はないため。"
73,"min116-u36","高村ゆかり","ありがとうございます。 今、会場ご出席の委員、山口委員、それから有村委員にご発言いただきます。その後、オンラインでご出席の委員にご発言いただこうと思います。現在、亀山委員、船越委員、そして大塚委員から手を挙げていただいておりますけれども、もしオンラインでご出席の委員でご発言をご希望の委員がございましたら、お手を挙げて、あるいはチャットでお知らせいただければと思います。 それでは、山口委員、よろしくお願いいたします。","ありがとうございます。 今、会場ご出席の委員、山口委員、それから有村委員にご発言いただきます。その後、オンラインでご出席の委員にご発言いただこうと思います。現在、亀山委員、船越委員、そして大塚委員から手を挙げていただいておりますけれども、もしオンラインでご出席の委員でご発言をご希望の委員がございましたら、お手を挙げて、あるいはチャットでお知らせいただければと思います。 それでは、山口委員、よろしくお願いいたします。","No","Yes",,"この発言は議事進行に関するものであり、環境基本計画の文書の変更やその内容についての言及は含まれていないため。"
74,"min116-u37","#山口委員","ありがとうございます。 まずは、この取りまとめは大変だったと思うんですね、膨大な量になっておりますが、本当にこの場で議論されたことが網羅されておりまして、大変すばらしい内容になっていると思っております。 私の場合には、地域共生型の再生可能エネルギーというのをずっと申し上げさせていただきまして、それが随所に入れられていて、本当によかったなというふうに実感しております。 改めて自分が取材してきた内容で振り返ってみますと、日本の人口減少が進む中で、地域の方々が、言わば強烈な郷土愛に基づいて行動し、地域にある自然資源を生かして再生可能エネルギーを生んで、雇用を生んで、地域が元気になっているという、新しい社会形態が生まれていると思うんですね。私たちメディアや視聴者が引きつけられるのは、そこに人がいるからです、情熱があるからなんですね。人間の勢い、熱ですよね、それを今後うまく表現することによって、第六次環境基本計画案をより広く社会の方々に自分事にしていただけるような取組をやっていただけないかというふうに思っております。 先日、企業のサステナ担当の方々、メディア関係者と懇談会をする機会があったんですが、皆さん、やっぱり環境に対してやることというのは、社会正義としては正しいんですけれども、例えば負担が多かったり、購読数が伸びないとか、いろんなことで皆さんが悩んでいらっしゃいます。だからこそ、正しいことをやることが社会を変えていくんだという後押しをするような行政であっていただきたいと思うんですね。 脱炭素先行地域は本当にすばらしいと思うんですけれども、あれはこれからの話ですよね、そこに予算をつけて今後バックアップしていくということだと思います。","私の場合には、地域共生型の再生可能エネルギーというのをずっと申し上げさせていただきまして、それが随所に入れられていて、本当によかったなというふうに実感しております。","Yes","No",,"『地域共生型の再生可能エネルギー』という自身が以前から主張していた内容が、計画案の随所に『入れられている』と述べており、計画案にその内容が反映（＝変更）されたことへの言及と判断できるため。"
75,"min116-u37","#山口委員","ありがとうございます。 まずは、この取りまとめは大変だったと思うんですね、膨大な量になっておりますが、本当にこの場で議論されたことが網羅されておりまして、大変すばらしい内容になっていると思っております。 私の場合には、地域共生型の再生可能エネルギーというのをずっと申し上げさせていただきまして、それが随所に入れられていて、本当によかったなというふうに実感しております。 改めて自分が取材してきた内容で振り返ってみますと、日本の人口減少が進む中で、地域の方々が、言わば強烈な郷土愛に基づいて行動し、地域にある自然資源を生かして再生可能エネルギーを生んで、雇用を生んで、地域が元気になっているという、新しい社会形態が生まれていると思うんですね。私たちメディアや視聴者が引きつけられるのは、そこに人がいるからです、情熱があるからなんですね。人間の勢い、熱ですよね、それを今後うまく表現することによって、第六次環境基本計画案をより広く社会の方々に自分事にしていただけるような取組をやっていただけないかというふうに思っております。 先日、企業のサステナ担当の方々、メディア関係者と懇談会をする機会があったんですが、皆さん、やっぱり環境に対してやることというのは、社会正義としては正しいんですけれども、例えば負担が多かったり、購読数が伸びないとか、いろんなことで皆さんが悩んでいらっしゃいます。だからこそ、正しいことをやることが社会を変えていくんだという後押しをするような行政であっていただきたいと思うんですね。 脱炭素先行地域は本当にすばらしいと思うんですけれども、あれはこれからの話ですよね、そこに予算をつけて今後バックアップしていくということだと思います。","第六次環境基本計画案をより広く社会の方々に自分事にしていただけるような取組をやっていただけないかというふうに思っております。","No","No",,"これは今後の取組への要望であり、現時点での計画案の変更やその内容への言及ではないため。"
76,"min116-u37","#山口委員","今現在、頑張っている人に対する表彰制度を考えるのはいかがでしょうか？この環境基本計画に紐づけるのが難しいかもしれませんが、環境省がバックアップするという新しい表彰制度があれば、誰もがもらってやっぱりうれしいと思うんですよ、それで困る人はいませんし、それで背中を押されて前向きに頑張ろうという人も増えてくると思うんですね。この環境基本計画に絡めて新しい表彰制度を作るなど、社会を前に進める、ポジティブに進めるような仕掛けづくりというのを今後やっていただければというふうに思いました。 以上です。ありがとうございます。","この環境基本計画に絡めて新しい表彰制度を作るなど、社会を前に進める、ポジティブに進めるような仕掛けづくりというのを今後やっていただければというふうに思いました。","No","No",,"発言は環境基本計画に新しい表彰制度を組み込むことを提案しているが、現時点で計画案が変更された箇所や内容についての具体的な言及はなく、変更の要望・提案にとどまっているため。"
77,"min116-u38","高村ゆかり","ありがとうございます。 それでは、有村委員、お願いいたします。","「ありがとうございます。 それでは、有村委員、お願いいたします。」","No","No",,"この発言は議事進行上の発言であり、環境基本計画の案の変更箇所や内容についての言及は一切含まれていないため。"
78,"min116-u39","#有村委員","ありがとうございます。 今回、一時帰国していまして参加させていただきました。 まず最初に、事務局のご努力並びに委員のご協力によって、すばらしい計画が完成したと思っております。また、パブコメでかつてない数のコメントがあったということは、社会全体としての関心、重要性が認識されているということだと思いますので、環境政策にとって大きなチャンスだというふうに考えることができると思いますので、ぜひそれを活かしていただければと思います。 あとは、環境省をはじめ、各省庁でこれをしっかり進めていただければと思いますが、中でも４点ほど、私が思ったことを申し上げたいと思います。 一つは、市場や企業の活力を生かして、ぜひこれを進めていただきたいというところです。資料の中でも何度も、国民、市場というのが出てきますけれども、かつては確かに市場と環境保全が対立するところもあったかと思いますが、今では、田中委員や淡路委員のご指摘にあったように、金融市場を活用したりして、あるいは環境政策の誘導で、企業がイノベーションを通じて環境保全に貢献できるような時代になってきたと思うので、その活力をぜひ生かしていただきたい。 二つ目は、世代間衡平性の問題です。気候変動に関わる人間、ネイチャーポジティブに関わる方々も、皆さん、世代間公平を当たり前のことだと思って、取り組まれていると思うんですが、いろんな政府の施策を見ていくと、本当に将来世代のことを考えてやっているのか、気になることがすごく多いので、ぜひ環境並びに社会経済も含めた世代間衡平性、将来世代に負担を残さないような施策をお願いしたいと思います。 それから三つ目は、髙橋（清）委員からご指摘のあったことで非常に納得するところですが、省庁の垣根を越えて、ぜひいろんな取組をしてほしい。効率よく政策を実施するためには省庁の垣根を破ることも非常に重要になってくるだろうと。","資料の中でも何度も、国民、市場というのが出てきますけれども、かつては確かに市場と環境保全が対立するところもあったかと思いますが、今では、田中委員や淡路委員のご指摘にあったように、金融市場を活用したりして、あるいは環境政策の誘導で、企業がイノベーションを通じて環境保全に貢献できるような時代になってきたと思うので、その活力をぜひ生かしていただきたい。","No","Yes",,"計画案の変更点や修正内容への具体的な言及はなく、全体的な方向性や期待を述べているのみ。田中委員や淡路委員の発言を参照しているが、変更内容自体には触れていない。"
79,"min116-u39","#有村委員","ありがとうございます。 今回、一時帰国していまして参加させていただきました。 まず最初に、事務局のご努力並びに委員のご協力によって、すばらしい計画が完成したと思っております。また、パブコメでかつてない数のコメントがあったということは、社会全体としての関心、重要性が認識されているということだと思いますので、環境政策にとって大きなチャンスだというふうに考えることができると思いますので、ぜひそれを活かしていただければと思います。 あとは、環境省をはじめ、各省庁でこれをしっかり進めていただければと思いますが、中でも４点ほど、私が思ったことを申し上げたいと思います。 一つは、市場や企業の活力を生かして、ぜひこれを進めていただきたいというところです。資料の中でも何度も、国民、市場というのが出てきますけれども、かつては確かに市場と環境保全が対立するところもあったかと思いますが、今では、田中委員や淡路委員のご指摘にあったように、金融市場を活用したりして、あるいは環境政策の誘導で、企業がイノベーションを通じて環境保全に貢献できるような時代になってきたと思うので、その活力をぜひ生かしていただきたい。 二つ目は、世代間衡平性の問題です。気候変動に関わる人間、ネイチャーポジティブに関わる方々も、皆さん、世代間公平を当たり前のことだと思って、取り組まれていると思うんですが、いろんな政府の施策を見ていくと、本当に将来世代のことを考えてやっているのか、気になることがすごく多いので、ぜひ環境並びに社会経済も含めた世代間衡平性、将来世代に負担を残さないような施策をお願いしたいと思います。 それから三つ目は、髙橋（清）委員からご指摘のあったことで非常に納得するところですが、省庁の垣根を越えて、ぜひいろんな取組をしてほしい。効率よく政策を実施するためには省庁の垣根を破ることも非常に重要になってくるだろうと。","気候変動に関わる人間、ネイチャーポジティブに関わる方々も、皆さん、世代間公平を当たり前のことだと思って、取り組まれていると思うんですが、いろんな政府の施策を見ていくと、本当に将来世代のことを考えてやっているのか、気になることがすごく多いので、ぜひ環境並びに社会経済も含めた世代間衡平性、将来世代に負担を残さないような施策をお願いしたいと思います。","No","No",,"計画案の変更点や修正内容についての具体的な言及はなく、要望や意見を述べている。"
